Nome,Alcance,Categoria,Custo,Dano,Descrição,Desvantagem grave,Duração,Efeito mecânico,Escalonamento,Gatilho,Limite de uso,Observações,Origem,Recurso,Requisitos,Risco,Sistema,Vantagem
Crânio Blindado,Pessoal,Flagelado,2 Mana,2d6 contundente em cabeçada,Os ossos do rosto e do crânio engrossam até formar elmo biológico.,Reduz percepção auditiva e social em -2 enquanto ativo.,3 turnos,Garante resistência forte contra críticos na cabeça e bônus em cabeçadas.,"No nível 20, reduz dano crítico em 1 categoria; no 35, cabeçada sobe para 3d6.",Preparação ou reflexo defensivo.,3 ativações por combate.,Poder simples e muito consistente.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,"Se quebrado por impacto supremo, aplica Atordoado.",Flagelado,Proteção direta da parte mais vulnerável do corpo.
Tremor Interno,Toque,Flagelado,3 Mana,2d8 interno,O usuário envia vibração destrutiva para dentro do corpo do alvo.,"Se errar, a vibração reverbera e causa 1d6 interno no usuário.",Instantânea,Ignora armadura física e pode aplicar Guarda Quebrada.,"No nível 20, sobe para 3d8; no 40, afeta alvos gigantes sem penalidade.",Golpe bem conectado.,4 ativações por combate.,Poder de perfuração biocinética.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode lesionar os próprios ossos da mão.,Flagelado,Ferramenta perfeita contra tanques e monstros resistentes.
Toque Entorpecente,Toque,Flagelado,1 Mana,1d6 nervoso,A pele injeta choque neural que desacelera músculos e sentidos.,Contatos amistosos também sofrem efeito se o usuário estiver instável.,2 turnos,Aplica Lentidão e -1 em ataques do alvo.,"No nível 25, também pode remover reação; no 45, aumenta para -2 em ataques.",Contato físico.,Sem limite fixo; restrito por EF.,Poder técnico de curto alcance.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Falha crítica gera dormência no próprio braço.,Flagelado,Ferramenta excelente para controle de duelistas.
Veias de Mercúrio,Pessoal,Flagelado,2 Mana por turno,1d8 contundente ao refluir,O sangue adquire densidade líquida metálica e acelera resposta corporal.,Venenos e magnetismo afetam o usuário com força dobrada.,3 turnos,Concede +2 Reflexos e resistência leve a cortes.,"No nível 25, também concede +1 em Defesa; no 40, reduz dano perfurante em 2.",Ameaça direta ou comando consciente.,3 ativações por combate.,Poder elegante e arriscado de adaptação corporal.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Endurecimento súbito pode causar Caído em falha crítica.,Flagelado,Aumenta mobilidade defensiva e resiliência.
Canto Hipnótico,12 m,Flagelado,2 Mana por turno,1d6 psíquico,A voz modula padrões sonoros que suspendem atenção e vontade.,"Enquanto canta, o usuário sofre -2 Defesa e não pode usar outras técnicas verbais.",3 turnos,Impõe Fascínio leve ou reduz iniciativa do alvo no próximo turno.,"No nível 30, afeta até 3 alvos; no 45, impõe silêncio contemplativo por 1 turno.",Início de melodia consciente.,2 cantos por combate.,A influência vocal do Flagelado agora usa Mana distorcida.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Quebra brusca do canto gera dano psíquico de retorno.,Flagelado,Controle social e tático muito valioso.
Muda de Carapaça,Pessoal,Flagelado,4 Mana,1d6 cortante ao romper casca,O usuário rompe uma camada externa danificada e emerge com proteção renovada.,A muda deixa vestígios óbvios e torna o usuário vulnerável a frio por 1 cena.,Instantânea + 2 turnos de nova pele,Remove uma condição física leve e recupera 2d8 de Vida.,"No nível 25, também concede +2 Defesa por 2 turnos.",Dano acumulado ou preparação.,2 usos por descanso curto.,Poder de renovação tática.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Falha crítica prende parte da nova carapaça e reduz deslocamento.,Flagelado,Reset defensivo muito forte em lutas prolongadas.
Faro de Pecado,20 m + Sabedoria × 2 m,Flagelado,1 Mana,1d6 psíquico extra contra alvo detectado,"O olfato percebe culpa, hostilidade e corrupção como trilhas sensoriais.",Sobrecarga emocional dá -2 em interações sociais normais durante a cena.,Cena,"Detecta inimigos hostis, mentira evidente ou presença corrompida.","No nível 30, identifica emoção dominante; no 45, lê resíduo espiritual recente.",Concentração olfativa.,Sem limite fixo; 1 foco principal por vez.,Ótimo para campanhas investigativas.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode ser enganado por ilusões morais ou pactos superiores.,Flagelado,Rastreio moral e espiritual extremamente útil.
Ímpeto de Predador,Pessoal,Flagelado,3 Mana,+1d8 contra alvos feridos,"O instinto de caça assume o corpo quando sente sangue ou fraqueza.
","Enquanto ativo, deve testar para não focar apenas o alvo mais ferido.",3 turnos,"Recebe bônus de deslocamento, perseguição e dano contra alvos já feridos.","No nível 20, bônus sobe para +2d8; no 40, ganha movimento ignorando terreno difícil.",Presença de sangue ou alvo quase derrotado.,3 ativações por combate.,Poder agressivo de caçador.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode quebrar formação e disciplina do grupo.,Flagelado,Finalização brutal e perseguição implacável.
Casulo de Emergência,Pessoal,Flagelado,5 Mana,—,O corpo se fecha em casulo orgânico espesso para sobreviver a dano extremo.,O usuário não pode atacar enquanto estiver fechado.,2 turnos,"Concede cobertura total pessoal, imunidade a movimento forçado e cura 2d6 por turno.","No nível 30, a cura sobe para 3d6; no 45, o casulo reflete 1d6 de dano corpo a corpo.",Quase morte ou preparação total.,1 uso por descanso curto.,O casulo orgânico é sustentado por Mana aberrante.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,"Se o casulo for quebrado por fogo supremo, sai Atordoado.",Flagelado,Sobrevivência massiva diante de burst letal.
Colmeia Interna,8 m,Flagelado,3 Mana,2d6 perfurante por enxame,Pequenas criaturas ou larvas simbióticas vivem dentro do corpo do usuário.,"Se o enxame for destruído, o usuário sofre 2d6 de dano de retorno.",3 turnos,"Libera enxame que causa dano contínuo, marca alvos e revela posição.","No nível 25, o enxame divide-se em dois grupos; no 40, dano sobe para 3d6.",Abertura corporal voluntária ou stress extremo.,3 liberações por combate.,A colmeia interna passou a usar Mana corrupta como combustível principal.,Sem título (https://www.notion.so/35ff7d8f481f43a29e38c09ecd5fced8?pvs=21),Mana,Origem: Flagelado,Pode precisar alimentar a colmeia após o combate.,Flagelado,"Pressão contínua, rastreio e controle psicológico."
