Nome,Alcance,Amplificação Mágica Extra,Atributo Afetado,Ação Secundária Extra,Bônus,Categoria,Classes,Crítico,Custo,Dano,Defesa,Defesa Extra,Durabilidade,Efeito,Escala com,Escalonamento,Limite de uso,Observações,Penalidade,Peso,Raridade,Reação Extra,Requisitos,Subtipo,Valor do Modificador
Armadura de Gravidade,—,,,,Reduz dano recebido,Armadura,,,—,,"+5 base, +1 a cada 2 níveis; contribuição máxima 20, Defesa final recomendada até 50",,Alta,Campo gravitacional dispersa parte do impacto.,—,O campo gravitacional reduz dano e converte parte do nível alto em mitigação real.,Passiva,Armadura pesada de controle e mitigação para escalas altas.,Reduz mobilidade em saltos e esquivas longas,,Épico,,Nenhum,Armadura Pesada,
Armadura do Vazio,—,,,,Chance de evitar dano totalmente,Armadura,,,3 Mana ao ativar evasão absoluta,,"+3 base, +1 a cada 3 níveis; contribuição máxima 16, Defesa final recomendada até 50 com evasão especial",,Média,Pode anular um impacto ao deslocá-lo para o vazio.,Inteligência ou Destreza,"A evasão absoluta escala em chance, custo e confiabilidade em níveis altos.",2 ativações por combate,Armadura tática de alto teto contra ataques decisivos.,Efeito não é garantido e pode falhar sob anti-magia,,Lendário,,Afinidade espacial ou sombria,Armadura Média,
Colar de Mana Infinita,,,,,Regeneração alta de Mana,Artefato,,,—,,,,,Recupera Mana a cada turno em combates prolongados.,,,Passivo,Perigoso em mãos de conjuradores com alta AM.,,,Lendário,,Usuário de Mana,Colar,
Amuleto da Alma,,,,,Aumenta dano espiritual,Artefato,,,—,,,,,"Soma dano espiritual adicional em magias, Ki ou ataques da alma.",,,Passivo,"Excelente para clérigos, guerreiros espirituais e usuários de alma.",,,Épico,,Afinidade espiritual,Amuleto,
Anel de Amplificação,,1,Inteligência,,+1 AM,Artefato,,,—,,,,,Aumenta o limite prático de Amplificação de Magia em 1.,,,Passivo,Artefato central para arcanistas de alto risco.,,,Épico,,Usuário de Mana,Anel,1
Orbe do Caos,,,,,Efeitos aleatórios poderosos,Artefato,,,2 Mana por ativação,,,,,"Rola efeito caótico de dano, buff, debuff ou distorção.",,,3 ativações por combate,"Grande teto de poder, alta imprevisibilidade.",,,Lendário,,Aceitação do risco caótico,Orbe,
Relíquia do Tempo,,,,,Reduz cooldown,Artefato,,,—,,,,,Reduz em 1 turno a recarga de habilidades temporais ou especiais.,,,Passivo,Muito forte em personagens de ação explosiva.,,,Lendário,,Nenhum,Relíquia,
Núcleo Elemental,,,,,Boost em elemento,Artefato,,,—,,,,,"Escolha um elemento dominado; ele recebe bônus de dano, alcance ou duração.",,,Passivo,Artefato modular para repertórios especializados.,,,Épico,,Domínio elemental,Núcleo,
Máscara do Vazio,,,,,Imunidade mental parcial,Artefato,,,—,,,,,"Concede grande resistência a controle mental, medo e leitura psíquica.",,,Passivo,Muito útil contra conjuradores de mente e horror.,,,Épico,,Nenhum,Máscara,
Pedra de Ki,,,Sabedoria,,Recuperação extra de Ki,Artefato,,,—,,,,,Regenera Ki adicional ao início do turno.,,,Passivo,"Artefato simples, eficiente e versátil.",,,Raro,,Subclasse de Ki,Pedra,1
Fragmento de Realidade,,,,,Ignora regras locais,Artefato,,,5 Mana por ativação,,,,,"Permite uma pequena ação impossível por cena, como atravessar, inverter ou anular um limite físico.",,,1 ativação por cena,Artefato de utilidade absurda e controle narrativo.,,,Lendário,,Usuário avançado de Mana,Fragmento,
Coração Flamejante,,,,,Buff de fogo,Artefato,,,—,,,,,Aumenta dano e duração de queimadura em magias ou armas de fogo.,,,Passivo,Sinergia clara com repertórios agressivos.,,,Épico,,Afinidade com fogo,Coração,
Anel Gravitacional,,,,,Controle de campo,Artefato,,,2 Mana por uso,,,,,Puxa ou desacelera alvos em pequena área ao redor do usuário.,,,3 usos por combate,Ferramenta de reposicionamento confiável.,,,Épico,,Nenhum,Anel,
Espelho Arcano,,,,,Reflete magia,Artefato,,,4 Mana por reflexão,,,,,Pode devolver parcialmente uma magia direcionada ao lançador original.,,,2 reflexões por combate,"Exige timing preciso, mas é devastador.",,,Lendário,,Usuário de Mana,Espelho,
Totem de Defesa,,,,,Redução de dano,Artefato,,,—,,,2,,Reduz dano recebido do portador ou de um aliado vinculado.,,,Passivo,Artefato simples e muito útil para campanhas longas.,,,Raro,,Nenhum,Totem,
Pingente de Sangue,,,,,Roubo de vida,Artefato,,,—,,,,,Converte parte do dano causado em cura moderada.,,,Passivo,Ótimo para combatentes agressivos.,,,Épico,,Nenhum,Pingente,
Olho do Observador,,,,,Detecta tudo,Artefato,,,—,,,,,"Revela invisibilidade, ilusões simples e rastros energéticos próximos.",,,Passivo,Fortíssimo em investigação e caça.,,,Épico,,Nenhum,Olho,
Relógio Quebrado,,,,1,Manipula turnos,Artefato,,,3 Mana por uso,,,,,Atrasa um inimigo ou adianta uma ação secundária do usuário.,,,2 usos por combate,Controle temporal compacto e perigoso.,,,Lendário,,Nenhum,Relógio,
Selo Demoníaco,,,,,Poder + risco,Artefato,,,Vida ou Sanidade variável,,,,,"Concede aumento expressivo de dano ou recurso por curta duração, mas impõe Instável.",,,1 ativação por combate,Artefato de barganha e corrupção.,,,Épico,,Nenhum,Selo,
Núcleo de Plasma,,,,,Dano explosivo,Artefato,,,—,,,,,"Amplifica magias e armas de plasma, fogo ou eletricidade com explosão secundária.",,,Passivo,Artefato ofensivo de altíssimo impacto.,,,Lendário,,Afinidade elemental correspondente,Núcleo,
Medalhão de Luz,,,Carisma,,Cura passiva,Artefato,,,—,,,,,Recupera pequena quantidade de Vida ao fim de cada rodada sem receber dano.,,,Passivo,Excelente para suporte e sustain.,,,Épico,,Nenhum,Medalhão,1
Pedra Sombria,,,,,Invisibilidade,Artefato,,,2 Mana por ativação,,,,,Concede invisibilidade parcial ou plena por curta duração.,,,2 ativações por combate,Ferramenta tática para infiltração e fuga.,,,Épico,1,Afinidade sombria ou furtividade,Pedra,
Cristal de Amplificação,,,,,Aumenta custo e dano,Artefato,,,—,,,,,"Amplia dano final de magias, mas também aumenta seu custo total.",,,Passivo,Perfeito para glass cannons arcanos.,,,Épico,,Usuário de Mana,Cristal,
Fragmento de Buraco Negro,,,,,Mini sucção,Artefato,,,6 Mana por uso,,,,,Cria campo de sucção curto que reposiciona alvos.,,,2 usos por combate,Versão compacta de controle gravitacional supremo.,,,Lendário,,Usuário avançado de Mana,Fragmento,
Marca do Caos,,,,,Buff aleatório constante,Artefato,,,—,,,,,"No início do turno concede um bônus aleatório de dano, defesa, velocidade ou recurso.",,,Passivo,Grande valor em builds adaptativas.,,,Lendário,,Aceitação do caos,Marca,
Essência Vital,,,,,Cura gradual,Artefato,,,—,,,,,Recupera Vida em pequenas parcelas por rodada ou após derrotar inimigos.,,,Passivo,Sustain confiável para campanhas longas.,,,Épico,,Nenhum,Essência,
Amuleto da Dor,,,,,Ganha dano ao sofrer dano,Artefato,,,—,,,,,Cada acerto recebido aumenta o dano do próximo ataque.,,,Acumula até 3 cargas,Artefato excelente para retaliadores.,,,Épico,,Nenhum,Amuleto,
Lente Arcana,,,,,Melhora precisão mágica,Artefato,,,—,,,,,Concede bônus direto em acertos de magia e em testes de AM.,,,Passivo,Artefato técnico para manipuladores e arcanistas.,,,Raro,,Usuário de Mana,Lente,
Corrente Espiritual,,,,,Liga aliados,Artefato,,,2 Ki ou 2 Mana por vínculo,,,,,"Compartilha cura, escudo ou parte de recurso entre dois aliados conectados.",,,1 vínculo ativo,Artefato de cooperação e suporte avançado.,,,Épico,,Afinidade espiritual,Corrente,
Anel de Teleporte,,,,,Mobilidade,Artefato,,,3 Mana por salto,,,,,Realiza teleporte curto e instantâneo em combate.,,,3 saltos por combate,Ferramenta universal de reposicionamento.,,,Épico,,Nenhum,Anel,
Selo da Entropia,,,,,Degrada inimigos,Artefato,,,—,,,,,"Reduz durabilidade, buffs ou atributos temporários de alvos atingidos.",,,Passivo,"Ótimo contra elites, construtos e equipamentos poderosos.",,,Lendário,,Nenhum,Selo,
Relíquia Final,,,,,Efeito absurdo,Artefato,,,Custo extremo variável,,,,,"Concede manifestação única de poder extremo, como reescrever o campo, salvar o grupo ou aniquilar uma ameaça maior.",,,1 uso por arco ou condição rara,Artefato de fim de jogo para eventos decisivos.,,,Lendário,,Campanha avançada e consentimento do mestre,Relíquia,
Poção de Cura Menor,,,,,Recupera 2d6 Vida,Consumível,,,Ação principal,,,,,Cura imediata básica.,,,1 uso,Poção padrão de início de campanha.,,,Comum,,Nenhum,Poção,
Poção de Mana Menor,,,,,Recupera 12 Mana,Consumível,,,Ação secundária,,,,,Reabastece reserva arcana leve.,,,1 uso,Consumível ideal para conjuradores iniciantes.,,,Comum,,Usuário de Mana,Poção,
Poção de Ki Menor,,,,,Recupera 10 Ki,Consumível,,,Ação secundária,,,,,Restabelece fluxo energético marcial.,,,1 uso,Básica para combates técnicos.,,,Comum,,Usuário de Ki,Poção,
Poção de Mana Maior,,,,,Recupera 30 Mana,Consumível,,,Ação secundária,,,,,Reabastece grande parcela de Mana.,,,1 uso,Muito útil em lutas de duração alta.,,,Raro,,Usuário de Mana,Poção,
Poção de Cura Maior,,,,,Recupera 4d6 Vida,Consumível,,,Ação principal,,,,,Cura imediata robusta.,,,1 uso,Boa para salvar personagens em risco.,,,Raro,,Nenhum,Poção,
Poção de Ki Maior,,,,,Recupera 24 Ki,Consumível,,,Ação secundária,,,,,Restabelece fluxo de Ki em volume relevante.,,,1 uso,Excelente para chefes e lutas longas.,,,Raro,,Usuário de Ki,Poção,
Poção de Resistência ao Fogo,,,,,Resistência a fogo,Consumível,,,Ação secundária,,,,,Reduz dano de fogo por 3 turnos.,,,1 uso,Útil contra magos de fogo e ambientes vulcânicos.,,,Incomum,,Nenhum,Poção,
Poção de Velocidade,,,,,+4 m deslocamento,Consumível,,,Ação secundária,,,,,Aumenta velocidade e iniciativa por 3 turnos.,,,1 uso,"Ótima para assassinos, arqueiros e reposicionamento.",,,Raro,,Nenhum,Poção,
Poção de Resistência ao Gelo,,,,,Resistência a gelo,Consumível,,,Ação secundária,,,,,Reduz dano de gelo e lentidão por 3 turnos.,,,1 uso,Boa contra áreas congelantes e controle frio.,,,Incomum,,Nenhum,Poção,
Poção de Força Bruta,,,,,+2 dano físico,Consumível,,,Ação secundária,,,,,Aumenta Força efetiva por 3 turnos.,,,1 uso,Consumível agressivo para lutadores físicos.,,,Incomum,,Nenhum,Poção,
Poção de Foco Mental,,,,,+2 em resistências mentais,Consumível,,,Ação secundária,,,,,Aumenta foco e reduz chance de interrupção por 3 turnos.,,,1 uso,Boa contra ilusão e controle mental.,,,Incomum,,Nenhum,Poção,
Poção de Precisão Arcana,,,,,+2 precisão mágica,Consumível,,,Ação secundária,,,,,Melhora testes de acerto mágico e AM por 3 turnos.,,,1 uso,Excelente para magias de alto custo.,,,Raro,,Usuário de Mana,Poção,
Poção de Salto Aéreo,,,,,Mobilidade vertical ampliada,Consumível,,,Ação secundária,,,,,Permite saltos longos e redução de dano de queda por 3 turnos.,,,1 uso,Utilidade tática e exploração.,,,Incomum,,Nenhum,Poção,
Poção de Pele Elétrica,,,,,Retorno elétrico,Consumível,,,Ação secundária,,,,,Quem acertar o usuário em corpo a corpo sofre 1d6 de eletricidade por 3 turnos.,,,1 uso,Defesa agressiva contra combos físicos.,,,Raro,,Nenhum,Poção,
Poção de Defesa Pétrea,,,,,+2 Defesa,Consumível,,,Ação secundária,,,,,Endurece a pele por 3 turnos.,,,1 uso,Ótima para personagens expostos ao foco inimigo.,,,Incomum,,Nenhum,Poção,
Poção de Olhos Noturnos,,,,,Visão ampliada no escuro,Consumível,,,Ação secundária,,,,,Ignora penalidades leves de obscuridade por 1 cena.,,,1 uso,"Muito útil em exploração, emboscada e cavernas.",,,Comum,,Nenhum,Poção,
Poção de Purificação,,,,,Remove condição negativa,Consumível,,,Ação principal,,,,,"Remove uma condição leve física, mental ou energética.",,,1 uso,Consumível utilitário de altíssimo valor.,,,Raro,,Nenhum,Poção,
Poção de Fúria Sangrenta,,,,,+2 dano e +2 m deslocamento,Consumível,,,Ação secundária,,,,,Aumenta agressividade por 3 turnos.,,,1 uso,"Após o efeito, o usuário sofre -1 Defesa por 1 turno.",,,Raro,,Nenhum,Poção,
Poção de Estabilidade,,,,,Reduz Instável,Consumível,,,Ação secundária,,,,,Anula penalidades leves de instabilidade e colapso por 2 turnos.,,,1 uso,Ideal para builds de alto risco.,,,Incomum,,Nenhum,Poção,
Poção de Respiração Abissal,,,,,Respiração especial,Consumível,,,Ação secundária,,,,,"Permite respirar em água, fumaça densa ou ambiente hostil por 1 cena curta.",,,1 uso,Exploração e sobrevivência ambiental.,,,Incomum,,Nenhum,Poção,
Ameaçadora,,,,,Duplica margem de ameaça,Encantamento,,,Aplicação por ferreiro arcano,,,,,A arma encantada ameaça crítico com muito mais frequência.,,,Passivo,Encantamento central para builds de crítico.,,,Épico,,Arma compatível,Encantamento de Arma,
Anticriatura,,,,,Bônus contra um tipo de criatura,Encantamento,,,Aplicação por alvo escolhido,,,,,Concede bônus de ataque e dano contra uma categoria específica.,,,Passivo,Muito forte em campanhas temáticas.,,,Raro,,Definir tipo de criatura,Encantamento de Arma,
Assassina,,,,,Aumenta ataque furtivo,Encantamento,,,—,,,,,Amplia dano extra em ataques furtivos ou de surpresa.,,,Passivo,Encantamento ideal para assassinos e infiltradores.,,,Raro,,Arma leve ou finesse,Encantamento de Arma,
Caçadora,,,,,Ignora camuflagem e cobertura,Encantamento,,,—,,,,,Ataques sofrem menos penalidade contra alvos ocultos.,,,Passivo,Excelente para rastreadores e arqueiros.,,,Raro,,"Arco, arma de arremesso ou lâmina leve",Encantamento de Arma,
Arremesso,,,,,Pode ser arremessada,Encantamento,,,—,,,,,Permite lançar arma corpo a corpo sem perder sua eficácia básica.,,,Passivo,Ótimo para versatilidade tática.,,,Incomum,,Arma compatível,Encantamento de Arma,
Congelante,,,,,+1d6 de dano de frio,Encantamento,,,—,,,,,Golpes podem aplicar Lentidão leve.,,,Passivo,Ótimo para controle de mobilidade.,,,Raro,,Arma compatível,Encantamento de Arma,
Conjuradora,,,,,Pode guardar e lançar magias,Encantamento,,,—,,,,,Armazena uma magia e permite liberá-la depois pelo item encantado.,,,1 magia armazenada,Excelente sinergia com Encantador.,,,Épico,,"Foco, cajado ou arma arcana",Encantamento de Foco,
Corrosiva,,,,,+1d6 de dano ácido,Encantamento,,,—,,,,,Pode reduzir Defesa ou durabilidade do alvo.,,,Passivo,Forte contra armaduras e construtos.,,,Raro,,Arma compatível,Encantamento de Arma,
Dançarina,,,,,Ataca sozinha,Encantamento,,,2 Mana por ativação,,,,,A arma realiza um ataque autônomo simples por turno.,,,3 turnos por combate,Versão tática de arma viva controlada.,,,Épico,,Arma leve ou média,Encantamento de Arma,
Defensora,,,,,Defesa +2,Encantamento,,,—,,,,,Concede bônus fixo de Defesa ao equipamento encantado.,,,Passivo,Encantamento simples e universalmente útil.,,,Raro,,"Armadura, manto ou escudo",Encantamento de Armadura,
Destruidora,,,,,Bônus contra construtos,Encantamento,,,—,,,,,"Aumenta ataque e dano contra construtos, portas e barreiras artificiais.",,,Passivo,Excelente em campanhas de ruínas e autômatos.,,,Raro,,Arma compatível,Encantamento de Arma,
Drenante,,,,,Crítico drena a vítima,Encantamento,,,—,,,,,"Acertos críticos drenam Vida, Mana ou Ki do alvo.",,,Passivo,Muito forte em builds de crítico ou sustain.,,,Épico,,Arma compatível,Encantamento de Arma,
Excruciante,,,,,Causa fraqueza,Encantamento,,,—,,,,,Golpes podem impor fraqueza física ou mental por curto período.,,,Passivo,Encantamento de debuff pesado.,,,Épico,,Arma compatível,Encantamento de Arma,
Energética,,,,,Bônus em ataque,Encantamento,,,—,,,,,Concede bônus consistente em testes de ataque.,,,Passivo,Versátil e eficiente em qualquer build ofensiva.,,,Épico,,Arma compatível,Encantamento de Arma,
Elétrica,,,,,+1d6 de dano de eletricidade,Encantamento,,,—,,,,,Pode retirar reação ou aplicar choque leve.,,,Passivo,Encantamento ofensivo de interrupção.,,,Raro,,Arma compatível,Encantamento de Arma,
Flamejante,,,,,+1d6 de dano de fogo,Encantamento,,,—,,,,,Pode aplicar Queimando leve.,,,Passivo,Encantamento clássico de dano elemental.,,,Raro,,Arma compatível,Encantamento de Arma,
Formidável,,,,,Ataque e dano +2,Encantamento,,,—,,,,,Melhora geral de precisão e impacto da arma encantada.,,,Passivo,Encantamento premium de consistência ofensiva.,,,Épico,,Arma compatível,Encantamento de Arma,
Lancinante,,,,,Causa crítico terrível,Encantamento,,,—,,,,,Críticos causam dano agravado e chance de debilitação adicional.,,,Passivo,Perfeito para duelistas de finalização.,,,Épico,,Arma cortante ou perfurante,Encantamento de Arma,
Magnífica,,,,,Ataque e dano +4,Encantamento,,,—,,,,,Amplia drasticamente o desempenho base da arma ou foco encantado.,,,Passivo,Encantamento topo de linha de consistência pura.,,,Lendário,,Arma ou foco de alto tier,Encantamento de Arma,
Piedosa,,,,,Dano não letal,Encantamento,,,—,,,,,Converte dano letal em não letal com eficiência total.,,,Passivo,"Ideal para captura, justiça e campanhas urbanas.",,,Incomum,,Arma compatível,Encantamento de Arma,
Poção de Invisibilidade Parcial,,,,,Camuflagem forte,Consumível,,,Ação secundária,,,,,Concede ocultação avançada por 2 turnos.,,,1 uso,Excelente para infiltração e reposicionamento.,,,Raro,,Nenhum,Poção,
Poção de Tempestade Interna,,,,,+1d6 elétrico nos ataques,Consumível,,,Ação secundária,,,,,Armas e golpes corpo a corpo recebem dano elétrico por 3 turnos.,,,1 uso,Combina bem com guerreiros e duelistas.,,,Raro,,Nenhum,Poção,
Poção de Lucidez,,,,,Remove Confuso ou Sono leve,Consumível,,,Ação secundária,,,,,Restaura clareza mental imediata.,,,1 uso,Contramedida barata contra controle mental básico.,,,Incomum,,Nenhum,Poção,
Poção de Pele Férrea,,,,,Reduz dano físico,Consumível,,,Ação secundária,,,,,Reduz dano físico recebido em 2 por 3 turnos.,,,1 uso,Ótima contra marciais e monstros de impacto.,,,Raro,,Nenhum,Poção,
Poção de Sangue Frio,,,,,Resistência a medo e pressão,Consumível,,,Ação secundária,,,,,Concede vantagem contra pânico e intimidação por 1 cena.,,,1 uso,Perfeita para batalhas psicológicas.,,,Incomum,,Nenhum,Poção,
Poção de Recarga Arcana,,,,,Recupera uso de magia limitada,Consumível,,,Ação secundária,,,,,Restaura 1 uso de magia de limite por combate ou reduz 1 recarga pesada.,,,1 uso,Consumível premium de alto valor.,,,Épico,,Usuário de Mana,Poção,
Poção de Pulso Vital,,,,,Cura e remove Sangramento,Consumível,,,Ação principal,,,,,Recupera 3d6 Vida e remove Sangramento.,,,1 uso,Perfeita para estabilização emergencial.,,,Raro,,Nenhum,Poção,
Poção de Explosão de Mana,,,,,+2 AM na próxima magia,Consumível,,,Ação secundária,,,,,"A próxima magia recebe grande amplificação, mas custa mais Mana.",,,1 uso,Excelente para burst controlado.,,,Épico,,Usuário de Mana,Poção,
Poção de Passo Etéreo,,,,,Atravessa obstáculos leves,Consumível,,,Ação secundária,,,,,Permite ignorar colisão com barreiras simples por 2 turnos.,,,1 uso,Mobilidade extrema para fuga ou infiltração.,,,Épico,,Nenhum,Poção,
Poção de Vigor Titânico,,,,,+3 Força temporária,Consumível,,,Ação secundária,,,,,"Aumenta dano, testes de carga e resistência física por 3 turnos.",,,1 uso,Explosão física curta para tanques e brutamontes.,,,Épico,,Nenhum,Poção,
Profana,,,,,Bônus contra devotos do Bem,Encantamento,,,—,,,,,Aumenta ataque e dano contra alvos sagrados ou devotos do Bem.,,,Passivo,Encantamento sombrio e especializado.,,,Épico,,Arma compatível,Encantamento de Arma,
Trovejante,,,,,Causa atordoamento,Encantamento,,,—,,,,,Acertos importantes podem deixar o alvo Atordoado por 1 turno.,,,Passivo,Encantamento de alto valor contra elites.,,,Épico,,Arma compatível,Encantamento de Arma,
Tumular,,,,,+1d8 de dano de trevas,Encantamento,,,—,,,,,Golpes invocam energia mortuária que enfraquece vitalidade.,,,Passivo,Encantamento sombrio de dano elevado.,,,Épico,,Arma compatível,Encantamento de Arma,
Sagrada,,,,,Bônus contra devotos do Mal,Encantamento,,,—,,,,,"Aumenta ataque e dano contra criaturas malignas, profanas ou corrompidas.",,,Passivo,Contraponto luminoso de Profana.,,,Épico,,Arma compatível,Encantamento de Arma,
Sanguinária,,,,,Causa sangramento,Encantamento,,,—,,,,,Golpes passam a aplicar Sangramento em acertos fortes ou críticos.,,,Passivo,Muito eficiente para pressão prolongada.,,,Raro,,Arma cortante ou perfurante,Encantamento de Arma,
Veloz,,,,,Fornece ataque extra,Encantamento,,,—,,,,,Concede um ataque adicional por turno com penalidade reduzida.,,,Passivo,Top tier para duelistas e marciais rápidos.,,,Lendário,,Arma leve ou média,Encantamento de Arma,
Venenosa,,,,,Causa envenenamento,Encantamento,,,—,,,,,Acertos aplicam Envenenado com toxina persistente.,,,Passivo,Ótima contra alvos de alta Vida.,,,Raro,,Arma compatível,Encantamento de Arma,
Poção de Couro de Rocha,,,,,Resistência a perfuração,Consumível,,,Ação secundária,,,,,Reduz dano perfurante e melhora estabilidade por 3 turnos.,,,1 uso,Boa contra arqueiros e lanças.,,,Incomum,,Nenhum,Poção,
Poção de Escudo Mental,,,,,Barreira psíquica,Consumível,,,Ação secundária,,,,,Concede proteção contra controle mental e dano psíquico por 3 turnos.,,,1 uso,"Contra ilusão, projeção e entidades mentais.",,,Raro,,Nenhum,Poção,
Poção de Reflexos Felinos,,,,,+2 em esquiva e Reflexos,Consumível,,,Ação secundária,,,,,Aumenta capacidade de reação por 3 turnos.,,,1 uso,Excelente para duelistas leves.,,,Incomum,,Nenhum,Poção,
Poção de Ressonância de Ki,,,,,+1 em técnicas de Ki,Consumível,,,Ação secundária,,,,,Aumenta precisão e estabilidade de técnicas de Ki por 3 turnos.,,,1 uso,Ótima para monges e mestres das armas.,,,Raro,,Usuário de Ki,Poção,
Poção de Clarividência,,,,,Percepção ampliada,Consumível,,,Ação secundária,,,,,"Revela armadilhas, ilusões leves e presenças ocultas por 1 cena.",,,1 uso,Consumível excelente para exploração.,,,Raro,,Nenhum,Poção,
Poção de Pulmão de Chama,,,,,Sopro ígneo curto,Consumível,,,Ação secundária,,,,,Permite um sopro de fogo de 2d6 uma vez em até 3 turnos.,,,1 uso,Ferramenta ofensiva divertida e eficiente.,,,Incomum,,Nenhum,Poção,
Poção de Névoa Curativa,,,,,Cura em área leve,Consumível,,,Ação principal,,,,,Cria névoa que recupera 1d6 de Vida de aliados adjacentes por 2 turnos.,,,1 uso,Consumível tático de suporte coletivo.,,,Raro,,Nenhum,Poção,
Poção de Sangue de Mercúrio,,,,,+2 Reflexos,Consumível,,,Ação secundária,,,,,"Aumenta evasão, resposta corporal e resistência leve a cortes por 3 turnos.",,,1 uso,Versão alquímica de adaptação corporal rápida.,,,Épico,,Nenhum,Poção,
Poção de Supressão da Dor,,,,,Ignora penalidades leves de ferimento,Consumível,,,Ação secundária,,,,,Mantém o usuário funcional mesmo ferido por 3 turnos.,,,1 uso,Muito valiosa para frontliners.,,,Raro,,Nenhum,Poção,
Poção de Eco Temporal,,,,,Ação secundária extra,Consumível,,,Ação secundária,,,,,Concede 1 ação secundária extra no próximo turno.,,,1 uso,Consumível lendário para jogadas decisivas.,,,Lendário,,Nenhum,Poção,
Cantil Vital de Campanha,,,,,Remove Desidratado,Consumível,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html), Restrição Celestial (Criar%20Personagem/Classes/Restri%C3%A7%C3%A3o%20Celestial%20280949ab67c74aceba16774b4427722d.html)",,Ação secundária,,,,,Recupera Energia Física e estabiliza marchas longas.,,,1 uso,Pensado para jornadas e combate em clima hostil.,,,Incomum,,Nenhum,Poção,
Máscara de Respiração Rúnica,,,,,Imunidade curta a Asfixiado,Artefato,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html), Restrição Celestial (Criar%20Personagem/Classes/Restri%C3%A7%C3%A3o%20Celestial%20280949ab67c74aceba16774b4427722d.html)",,1 Mana ou 1 Energia Física para selar o filtro,,,,,"Filtra fumaça, veneno leve e ambientes sem ar por alguns turnos.",,Nos níveis altos aumenta a duração e resiste a toxinas pesadas.,3 ativações por combate,Criada para neutralizar Asfixiado e fumaça tática.,,,Raro,,Nenhum,Respirador,
Talismã de Lucidez Fria,,,,,"+2 contra Hipnotizado, Pânico e Alucinado",Acessório,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html), Restrição Celestial (Criar%20Personagem/Classes/Restri%C3%A7%C3%A3o%20Celestial%20280949ab67c74aceba16774b4427722d.html)",,1 reação por ativação,,,,,Quebra efeitos mentais leves e estabiliza foco do portador.,,,2 ativações por combate,Excelente contra controle psicológico.,,,Épico,1,Nenhum,Talismã mental,
Grevas de Ancoragem,,,,,Resiste a Deslocado e Gravidade Alterada,Armadura,,,,,+1 Defesa e resistência a empurrões,1,,Estabiliza o centro de massa e reduz efeitos de deslocamento anormal.,,Nos níveis altos pode anular um empurrão por rodada.,,Muito útil contra magia espacial e gravidade alterada.,-1 em salto vertical,,Raro,,Nenhum,Armadura leve,
Selo Rompedor Arcano,,,,,Chance de quebrar Canalização Quebrada do alvo,Encantamento,"Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Restrição Celestial (Criar%20Personagem/Classes/Restri%C3%A7%C3%A3o%20Celestial%20280949ab67c74aceba16774b4427722d.html)",,—,,,,,Arma encantada interrompe sustentação mágica e amplia pressão anti-conjuração.,,,Passivo,Perfeito para caçar magos e usuários instáveis.,,,Raro,,Arma compatível,Encantamento de arma,
Manto de Estabilidade,,1,,,+2 resistência contra Eco Arcano e Sobrecarga Mágica,Acessório,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)",,—,,,,,Suaviza surtos de Mana e reduz colateral energético.,,,Passivo,Acessório de segurança para conjuradores agressivos.,,,Épico,,Usuário de Mana,Manto,
Bracelete Contra-Caos,,,,,Reduz efeitos da Marca do Caos e de Postura Instável,Artefato,"Mago (Criar%20Personagem/Classes/Mago%20f761bd678e484cd0993fda875188004f.html), Ki (Criar%20Personagem/Classes/Ki%20ec27f579c6cb4ff8b30faa1a340adab0.html), Híbrido (Criar%20Personagem/Classes/H%C3%ADbrido%20cd1a673735eb4b42b02898eb22d01d5f.html)",,2 Mana ou 2 Ki ao ativar,,,,,Converte uma consequência aleatória negativa em neutra uma vez por combate.,,,1 uso por combate,Ferramenta premium para builds caóticas.,,,Lendário,,Nenhum,Bracelete,
